twa/tws;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.01;0.021;0.031;0.041;0.055;0.065;0.046;0.048;0.044;0.054;0.056;0.083;0.087;0.088;0.089;0.092;0.094;0.099;0.1;0.098;0.085;0.069;0.1;0.102;0.09;0.089;0.07;0.069;0.076;0.079;0.08;0.08;0.081;0.082;0.083;0.083;0.083;0.083;0.084;0.084;0.083;0.082;0.081;0.08;0.08;0.079;0.078;0.077;0.076;0.075;0.074;0.073;0.073;0.072;0.071;0.07;0.069;0.068;0.067;0.066;0.064;0.061;0.059;0.056;0.054;0.051;0.049;0.046;0.044;0.041
2;0;0.021;0.041;0.062;0.083;0.11;0.13;0.093;0.095;0.088;0.108;0.113;0.165;0.173;0.176;0.178;0.183;0.188;0.198;0.201;0.196;0.171;0.138;0.201;0.203;0.181;0.178;0.14;0.138;0.153;0.158;0.159;0.161;0.162;0.164;0.165;0.166;0.166;0.167;0.168;0.168;0.166;0.164;0.163;0.161;0.159;0.157;0.156;0.154;0.152;0.15;0.149;0.147;0.145;0.143;0.142;0.14;0.138;0.136;0.135;0.133;0.128;0.123;0.118;0.113;0.108;0.103;0.098;0.093;0.088;0.083
3;0;0.031;0.062;0.093;0.124;0.165;0.196;0.139;0.143;0.132;0.162;0.169;0.248;0.26;0.263;0.267;0.275;0.282;0.297;0.301;0.293;0.256;0.207;0.301;0.305;0.271;0.267;0.211;0.207;0.229;0.237;0.239;0.241;0.244;0.246;0.248;0.249;0.25;0.25;0.251;0.252;0.249;0.247;0.244;0.241;0.239;0.236;0.234;0.231;0.228;0.226;0.223;0.22;0.218;0.215;0.213;0.21;0.207;0.205;0.202;0.199;0.192;0.184;0.177;0.169;0.162;0.154;0.147;0.139;0.132;0.124
4;0;0.041;0.083;0.124;0.165;0.221;0.261;0.186;0.191;0.176;0.216;0.226;0.331;0.346;0.351;0.356;0.366;0.376;0.396;0.401;0.391;0.341;0.276;0.401;0.406;0.361;0.356;0.281;0.276;0.306;0.316;0.319;0.322;0.325;0.328;0.331;0.332;0.333;0.334;0.335;0.336;0.332;0.329;0.325;0.322;0.318;0.315;0.311;0.308;0.304;0.301;0.297;0.294;0.29;0.287;0.283;0.28;0.276;0.273;0.269;0.266;0.256;0.246;0.236;0.226;0.216;0.206;0.196;0.186;0.176;0.165
5;0;0.052;0.103;0.155;0.207;0.z276;0.326;0.232;0.238;0.219;0.27;0.282;0.414;0.433;0.439;0.445;0.458;0.47;0.495;0.501;0.489;0.426;0.345;0.501;0.508;0.451;0.445;0.351;0.345;0.382;0.395;0.399;0.402;0.406;0.41;0.414;0.415;0.416;0.417;0.419;0.42;0.416;0.411;0.407;0.402;0.398;0.394;0.389;0.385;0.381;0.376;0.372;0.367;0.363;0.359;0.354;0.35;0.345;0.341;0.337;0.332;0.32;0.307;0.295;0.282;0.27;0.257;0.244;0.232;0.219;0.207
6;0;0.062;0.124;0.186;0.248;0.331;0.391;0.278;0.286;0.263;0.323;0.339;0.496;0.519;0.527;0.534;0.549;0.564;0.594;0.602;0.587;0.512;0.414;0.602;0.609;0.542;0.534;0.421;0.414;0.459;0.474;0.478;0.483;0.487;0.492;0.496;0.498;0.499;0.501;0.503;0.504;0.499;0.493;0.488;0.483;0.478;0.472;0.467;0.462;0.457;0.451;0.446;0.441;0.436;0.43;0.425;0.42;0.414;0.409;0.404;0.399;0.384;0.369;0.354;0.339;0.323;0.308;0.293;0.278;0.263;0.248
7;0;0.072;0.145;0.217;0.29;0.386;0.456;0.325;0.333;0.307;0.377;0.395;0.579;0.606;0.614;0.623;0.641;0.658;0.693;0.702;0.685;0.597;0.483;0.702;0.711;0.632;0.623;0.491;0.483;0.535;0.553;0.558;0.563;0.569;0.574;0.579;0.581;0.583;0.584;0.586;0.588;0.582;0.576;0.57;0.563;0.557;0.551;0.545;0.539;0.533;0.527;0.52;0.514;0.508;0.502;0.496;0.49;0.484;0.477;0.471;0.465;0.448;0.43;0.412;0.395;0.377;0.36;0.342;0.325;0.307;0.29
8;0;0.083;0.165;0.248;0.331;0.441;0.522;0.371;0.381;0.351;0.431;0.451;0.662;0.692;0.702;0.712;0.732;0.752;0.792;0.802;0.782;0.682;0.552;0.802;0.812;0.722;0.712;0.562;0.552;0.612;0.632;0.638;0.644;0.65;0.656;0.662;0.664;0.666;0.668;0.67;0.672;0.665;0.658;0.651;0.644;0.637;0.63;0.623;0.616;0.609;0.602;0.595;0.588;0.581;0.574;0.567;0.56;0.553;0.546;0.539;0.532;0.512;0.491;0.471;0.451;0.431;0.411;0.391;0.371;0.351;0.331
9;0;0.115;0.23;0.345;0.46;0.614;0.726;0.544;0.562;0.514;0.591;0.599;0.868;0.906;0.923;0.938;0.963;0.988;1.041;1.052;1.028;0.901;0.733;1.052;1.067;0.953;0.939;0.747;0.735;0.81;0.838;0.845;0.853;0.86;0.868;0.875;0.878;0.881;0.883;0.886;0.889;0.877;0.864;0.852;0.84;0.827;0.815;0.802;0.79;0.778;0.765;0.753;0.741;0.728;0.716;0.704;0.691;0.679;0.667;0.654;0.642;0.621;0.601;0.581;0.56;0.54;0.519;0.499;0.478;0.458;0.438
